DATE,M2
2015-04-13,11931.5
2015-04-20,11937.3
2015-04-27,11925.9
2015-05-04,11929.2
2015-05-11,11943.1
2015-05-18,11955.2
2015-05-25,11980.5
2015-06-01,11993.6
2015-06-08,11973.3
2015-06-15,11984.8
2015-06-22,12024.2
2015-06-29,12042.2
2015-07-06,12061.0
2015-07-13,12052.1
2015-07-20,12054.6
2015-07-27,12070.8
2015-08-03,12059.6
2015-08-10,12080.1
2015-08-17,12112.4
2015-08-24,12130.5
2015-08-31,12140.9
2015-09-07,12141.2
2015-09-14,12164.5
2015-09-21,12187.3
2015-09-28,12171.3
2015-10-05,12164.0
2015-10-12,12164.7
2015-10-19,12170.8
2015-10-26,12230.2
2015-11-02,12270.6
2015-11-09,12275.0
2015-11-16,12286.5
2015-11-23,12297.6
2015-11-30,12293.6
2015-12-07,12305.6
2015-12-14,12320.3
2015-12-21,12370.4
2015-12-28,12368.6
2016-01-04,12355.3
2016-01-11,12454.7
2016-01-18,12466.2
2016-01-25,12504.7
2016-02-01,12530.7
2016-02-08,12502.7
2016-02-15,12546.7
2016-02-22,12571.9
2016-02-29,12568.8
2016-03-07,12573.8
2016-03-14,12579.7
2016-03-21,12614.8
2016-03-28,12654.7
2016-04-04,12655.6
2016-04-11,12668.1
2016-04-18,12689.7
2016-04-25,12729.1
2016-05-02,12754.0
2016-05-09,12757.0
2016-05-16,12765.8
2016-05-23,12785.3
2016-05-30,12770.2
2016-06-06,12788.1
2016-06-13,12836.0
2016-06-20,12852.5
2016-06-27,12857.5
2016-07-04,12853.3
2016-07-11,12866.3
2016-07-18,12890.8
2016-07-25,12916.2
2016-08-01,12940.3
2016-08-08,12959.0
2016-08-15,12970.7
2016-08-22,12998.3
2016-08-29,13002.0
2016-09-05,13012.2
2016-09-12,13047.8
2016-09-19,13043.9
2016-09-26,13057.4
2016-10-03,13055.4
2016-10-10,13110.9
2016-10-17,13107.3
2016-10-24,13116.5
2016-10-31,13141.6
2016-11-07,13135.0
2016-11-14,13176.0
2016-11-21,13213.3
2016-11-28,13203.1
2016-12-05,13202.9
2016-12-12,13205.1
2016-12-19,13211.4
2016-12-26,13216.7
2017-01-02,13227.6
2017-01-09,13270.5
2017-01-16,13287.4
2017-01-23,13306.0
2017-01-30,13303.0
2017-02-06,13327.4
2017-02-13,13338.2
2017-02-20,13355.6
2017-02-27,13389.1
2017-03-06,13385.3
2017-03-13,13420.4
2017-03-20,13436.5
2017-03-27,13445.4
2017-04-03,13437.4
2017-04-10,13475.5
2017-04-17,13479.7
2017-04-24,13506.0
2017-05-01,13530.4
2017-05-08,13516.5
2017-05-15,13530.7
2017-05-22,13561.4
2017-05-29,13567.7
2017-06-05,13559.8
2017-06-12,13563.2
2017-06-19,13565.4
2017-06-26,13595.3
2017-07-03,13576.3
2017-07-10,13621.7
2017-07-17,13634.2
2017-07-24,13642.6
2017-07-31,13655.0
2017-08-07,13661.0
2017-08-14,13665.2
2017-08-21,13701.4
2017-08-28,13716.1
2017-09-04,13706.0
2017-09-11,13720.8
2017-09-18,13722.0
2017-09-25,13739.5
2017-10-02,13762.3
2017-10-09,13787.7
2017-10-16,13776.4
2017-10-23,13779.9
2017-10-30,13792.2
2017-11-06,13795.4
2017-11-13,13801.4
2017-11-20,13799.4
2017-11-27,13828.4
2017-12-04,13820.2
2017-12-11,13855.8
2017-12-18,13866.3
2017-12-25,13843.9
2018-01-01,13846.7
2018-01-08,13856.0
2018-01-15,13863.1
2018-01-22,13876.9
2018-01-29,13881.9
2018-02-05,13893.6
2018-02-12,13887.2
2018-02-19,13897.0
2018-02-26,13926.4
2018-03-05,13947.7
2018-03-12,13950.9
2018-03-19,13954.5
2018-03-26,13982.4
2018-04-02,13991.0
2018-04-09,13984.2
2018-04-16,13990.4
2018-04-23,14016.6
2018-04-30,14017.8
2018-05-07,14029.2
2018-05-14,14051.8
2018-05-21,14073.7
2018-05-28,14097.4
2018-06-04,14108.4
2018-06-11,14120.3
2018-06-18,14137.5
2018-06-25,14146.5
2018-07-02,14157.4
2018-07-09,14152.8
2018-07-16,14172.8
2018-07-23,14175.6
2018-07-30,14173.7
2018-08-06,14171.6
2018-08-13,14198.3
2018-08-20,14213.0
2018-08-27,14241.8
2018-09-03,14242.0
2018-09-10,14222.2
2018-09-17,14241.1
2018-09-24,14249.7
2018-10-01,14260.9
2018-10-08,14231.3
2018-10-15,14246.3
2018-10-22,14260.2
2018-10-29,14262.2
2018-11-05,14238.1
2018-11-12,14234.6
2018-11-19,14256.6
2018-11-26,14270.7
2018-12-03,14315.3
2018-12-10,14334.1
2018-12-17,14327.1
2018-12-24,14396.6
2018-12-31,14426.5
2019-01-07,14420.2
2019-01-14,14431.5
2019-01-21,14442.4
2019-01-28,14484.5
2019-02-04,14470.2
2019-02-11,14474.8
2019-02-18,14465.5
2019-02-25,14483.8
2019-03-04,14500.1
2019-03-11,14512.8
2019-03-18,14508.9
2019-03-25,14533.3
2019-04-01,14562.2
2019-04-08,14554.5
2019-04-15,14566.1
